dates,hospitalisations
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,0
27/03/2020,0
28/03/2020,0
29/03/2020,0
30/03/2020,0
31/03/2020,0
01/04/2020,0
02/04/2020,1
03/04/2020,0
04/04/2020,1
05/04/2020,1
06/04/2020,1
07/04/2020,1
08/04/2020,1
09/04/2020,1
10/04/2020,1
11/04/2020,1
12/04/2020,1
13/04/2020,1
14/04/2020,3
15/04/2020,1
16/04/2020,1
17/04/2020,1
18/04/2020,3
19/04/2020,1
20/04/2020,1
21/04/2020,1
22/04/2020,3
23/04/2020,3
24/04/2020,3
25/04/2020,3
26/04/2020,3
27/04/2020,3
28/04/2020,3
29/04/2020,3
30/04/2020,4
01/05/2020,4
02/05/2020,4
03/05/2020,4
04/05/2020,4
05/05/2020,5
06/05/2020,5
07/05/2020,7
08/05/2020,7
09/05/2020,7
10/05/2020,8
11/05/2020,8
12/05/2020,8
13/05/2020,8
14/05/2020,8
15/05/2020,9
16/05/2020,8
17/05/2020,10
18/05/2020,10
19/05/2020,10
20/05/2020,10
21/05/2020,13
22/05/2020,13
23/05/2020,13
24/05/2020,14
25/05/2020,14
26/05/2020,16
27/05/2020,16
28/05/2020,17
29/05/2020,17
30/05/2020,17
31/05/2020,18
01/06/2020,18
02/06/2020,20
03/06/2020,20
04/06/2020,20
05/06/2020,21
06/06/2020,22
07/06/2020,21
08/06/2020,22
09/06/2020,22
10/06/2020,24
11/06/2020,22
12/06/2020,24
13/06/2020,24
14/06/2020,24
15/06/2020,25
16/06/2020,25
17/06/2020,26
18/06/2020,26
19/06/2020,26
20/06/2020,29
21/06/2020,30
22/06/2020,30
23/06/2020,30
24/06/2020,30
25/06/2020,31
26/06/2020,33
27/06/2020,31
28/06/2020,33
29/06/2020,33
30/06/2020,34
01/07/2020,34
02/07/2020,37
03/07/2020,37
04/07/2020,37
05/07/2020,37
06/07/2020,38
07/07/2020,37
08/07/2020,38
09/07/2020,38
10/07/2020,38
11/07/2020,38
12/07/2020,38
13/07/2020,39
14/07/2020,39
15/07/2020,38
16/07/2020,38
17/07/2020,38
18/07/2020,39
19/07/2020,39
20/07/2020,38
21/07/2020,38
22/07/2020,38
23/07/2020,38
24/07/2020,38
25/07/2020,37
26/07/2020,37
27/07/2020,37
28/07/2020,35
29/07/2020,35
30/07/2020,35
31/07/2020,34
01/08/2020,34
02/08/2020,33
03/08/2020,34
04/08/2020,33
05/08/2020,31
06/08/2020,31
07/08/2020,30
08/08/2020,30
09/08/2020,30
10/08/2020,29
11/08/2020,27
12/08/2020,26
13/08/2020,25
14/08/2020,25
15/08/2020,24
16/08/2020,22
17/08/2020,21
18/08/2020,20
19/08/2020,18
20/08/2020,18
21/08/2020,18
22/08/2020,17
23/08/2020,17
24/08/2020,16
25/08/2020,14
26/08/2020,16
27/08/2020,13
28/08/2020,13
29/08/2020,13
30/08/2020,12
31/08/2020,12
01/09/2020,12
02/09/2020,10
03/09/2020,10
04/09/2020,9
05/09/2020,9
06/09/2020,9
07/09/2020,9
08/09/2020,8
09/09/2020,8
10/09/2020,8
11/09/2020,7
12/09/2020,7
13/09/2020,7
14/09/2020,7
15/09/2020,7
16/09/2020,7
17/09/2020,5
18/09/2020,5
19/09/2020,5
20/09/2020,5
21/09/2020,4
22/09/2020,4
23/09/2020,4
24/09/2020,3
25/09/2020,3
26/09/2020,3
27/09/2020,3
28/09/2020,3
29/09/2020,3
30/09/2020,3
01/10/2020,3
02/10/2020,3
03/10/2020,3
04/10/2020,3
05/10/2020,3
06/10/2020,3
07/10/2020,3
08/10/2020,3
09/10/2020,3
10/10/2020,3
11/10/2020,1
12/10/2020,1
13/10/2020,1
14/10/2020,1
15/10/2020,1
16/10/2020,1
17/10/2020,1
18/10/2020,1
19/10/2020,1
20/10/2020,1
21/10/2020,1
22/10/2020,1
23/10/2020,1
24/10/2020,1
25/10/2020,1
26/10/2020,1
27/10/2020,1
28/10/2020,1
29/10/2020,1
30/10/2020,1
31/10/2020,1
01/11/2020,1
02/11/2020,1
03/11/2020,1
04/11/2020,1
05/11/2020,1
06/11/2020,1
07/11/2020,1
08/11/2020,1
09/11/2020,1
10/11/2020,1
11/11/2020,1
12/11/2020,1
13/11/2020,1
14/11/2020,1
15/11/2020,1
16/11/2020,1
17/11/2020,1
18/11/2020,1
19/11/2020,1
20/11/2020,1
21/11/2020,1
22/11/2020,1
23/11/2020,1
24/11/2020,1
25/11/2020,1
26/11/2020,1
27/11/2020,1
28/11/2020,1
29/11/2020,1
30/11/2020,1
01/12/2020,1
02/12/2020,1
03/12/2020,1
04/12/2020,1
05/12/2020,1
06/12/2020,1
07/12/2020,1
08/12/2020,1
09/12/2020,1
10/12/2020,1
11/12/2020,1
12/12/2020,1
13/12/2020,1
14/12/2020,1
15/12/2020,1
16/12/2020,1
17/12/2020,0
18/12/2020,0
19/12/2020,0
20/12/2020,0
21/12/2020,0
22/12/2020,0
23/12/2020,0
24/12/2020,0
25/12/2020,0
26/12/2020,0
27/12/2020,0
28/12/2020,0
29/12/2020,0
30/12/2020,0
31/12/2020,0
