dates,hospitalisations
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,0
27/03/2020,0
28/03/2020,0
29/03/2020,0
30/03/2020,0
31/03/2020,0
01/04/2020,0
02/04/2020,1
03/04/2020,1
04/04/2020,2
05/04/2020,2
06/04/2020,2
07/04/2020,2
08/04/2020,2
09/04/2020,2
10/04/2020,3
11/04/2020,3
12/04/2020,3
13/04/2020,3
14/04/2020,3
15/04/2020,4
16/04/2020,4
17/04/2020,4
18/04/2020,4
19/04/2020,5
20/04/2020,5
21/04/2020,6
22/04/2020,6
23/04/2020,7
24/04/2020,8
25/04/2020,8
26/04/2020,9
27/04/2020,10
28/04/2020,11
29/04/2020,11
30/04/2020,12
01/05/2020,13
02/05/2020,15
03/05/2020,16
04/05/2020,17
05/05/2020,19
06/05/2020,20
07/05/2020,21
08/05/2020,23
09/05/2020,24
10/05/2020,26
11/05/2020,27
12/05/2020,28
13/05/2020,30
14/05/2020,31
15/05/2020,32
16/05/2020,33
17/05/2020,34
18/05/2020,35
19/05/2020,36
20/05/2020,37
21/05/2020,38
22/05/2020,39
23/05/2020,40
24/05/2020,41
25/05/2020,43
26/05/2020,45
27/05/2020,46
28/05/2020,47
29/05/2020,49
30/05/2020,50
31/05/2020,52
01/06/2020,53
02/06/2020,55
03/06/2020,56
04/06/2020,57
05/06/2020,58
06/06/2020,58
07/06/2020,58
08/06/2020,59
09/06/2020,59
10/06/2020,59
11/06/2020,59
12/06/2020,58
13/06/2020,58
14/06/2020,57
15/06/2020,56
16/06/2020,55
17/06/2020,54
18/06/2020,53
19/06/2020,52
20/06/2020,51
21/06/2020,50
22/06/2020,48
23/06/2020,47
24/06/2020,46
25/06/2020,44
26/06/2020,42
27/06/2020,40
28/06/2020,38
29/06/2020,37
30/06/2020,34
01/07/2020,32
02/07/2020,31
03/07/2020,29
04/07/2020,28
05/07/2020,26
06/07/2020,24
07/07/2020,23
08/07/2020,21
09/07/2020,20
10/07/2020,19
11/07/2020,18
12/07/2020,16
13/07/2020,15
14/07/2020,14
15/07/2020,14
16/07/2020,13
17/07/2020,12
18/07/2020,12
19/07/2020,11
20/07/2020,10
21/07/2020,9
22/07/2020,9
23/07/2020,8
24/07/2020,8
25/07/2020,7
26/07/2020,7
27/07/2020,6
28/07/2020,6
29/07/2020,5
30/07/2020,5
31/07/2020,4
01/08/2020,4
02/08/2020,4
03/08/2020,4
04/08/2020,3
05/08/2020,3
06/08/2020,3
07/08/2020,3
08/08/2020,3
09/08/2020,3
10/08/2020,3
11/08/2020,2
12/08/2020,2
13/08/2020,2
14/08/2020,2
15/08/2020,2
16/08/2020,2
17/08/2020,2
18/08/2020,2
19/08/2020,2
20/08/2020,2
21/08/2020,2
22/08/2020,2
23/08/2020,2
24/08/2020,2
25/08/2020,2
26/08/2020,2
27/08/2020,2
28/08/2020,2
29/08/2020,2
30/08/2020,2
31/08/2020,2
01/09/2020,2
02/09/2020,2
03/09/2020,2
04/09/2020,2
05/09/2020,2
06/09/2020,2
07/09/2020,2
08/09/2020,2
09/09/2020,2
10/09/2020,2
11/09/2020,2
12/09/2020,2
13/09/2020,2
14/09/2020,2
15/09/2020,2
16/09/2020,2
17/09/2020,2
18/09/2020,2
19/09/2020,2
20/09/2020,2
21/09/2020,2
22/09/2020,2
23/09/2020,1
24/09/2020,1
25/09/2020,1
26/09/2020,1
27/09/2020,1
28/09/2020,0
29/09/2020,0
30/09/2020,0
01/10/2020,0
02/10/2020,0
03/10/2020,0
04/10/2020,0
05/10/2020,0
06/10/2020,0
07/10/2020,0
08/10/2020,0
09/10/2020,0
10/10/2020,0
11/10/2020,0
12/10/2020,0
13/10/2020,0
14/10/2020,0
15/10/2020,0
16/10/2020,0
17/10/2020,0
18/10/2020,0
19/10/2020,0
20/10/2020,0
21/10/2020,0
22/10/2020,0
23/10/2020,0
24/10/2020,0
25/10/2020,0
26/10/2020,0
27/10/2020,0
28/10/2020,0
29/10/2020,0
30/10/2020,0
31/10/2020,0
01/11/2020,0
02/11/2020,0
03/11/2020,0
04/11/2020,0
05/11/2020,0
06/11/2020,0
07/11/2020,0
08/11/2020,0
09/11/2020,0
10/11/2020,0
11/11/2020,0
12/11/2020,0
13/11/2020,0
14/11/2020,0
15/11/2020,0
16/11/2020,0
17/11/2020,0
18/11/2020,0
19/11/2020,0
20/11/2020,0
21/11/2020,0
22/11/2020,0
23/11/2020,0
24/11/2020,0
25/11/2020,0
26/11/2020,0
27/11/2020,0
28/11/2020,0
29/11/2020,0
30/11/2020,0
01/12/2020,0
02/12/2020,0
03/12/2020,0
04/12/2020,0
05/12/2020,0
06/12/2020,0
07/12/2020,0
08/12/2020,0
09/12/2020,0
10/12/2020,0
11/12/2020,0
12/12/2020,0
13/12/2020,0
14/12/2020,0
15/12/2020,0
16/12/2020,0
17/12/2020,0
18/12/2020,0
19/12/2020,0
20/12/2020,0
21/12/2020,0
22/12/2020,0
23/12/2020,0
24/12/2020,0
25/12/2020,0
26/12/2020,0
27/12/2020,0
28/12/2020,0
29/12/2020,0
30/12/2020,0
31/12/2020,0
