dates,hospitalisations
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,0
27/03/2020,0
28/03/2020,0
29/03/2020,0
30/03/2020,0
31/03/2020,0
01/04/2020,0
02/04/2020,1
03/04/2020,1
04/04/2020,1
05/04/2020,2
06/04/2020,2
07/04/2020,3
08/04/2020,3
09/04/2020,5
10/04/2020,6
11/04/2020,8
12/04/2020,10
13/04/2020,11
14/04/2020,12
15/04/2020,13
16/04/2020,15
17/04/2020,17
18/04/2020,18
19/04/2020,20
20/04/2020,22
21/04/2020,24
22/04/2020,26
23/04/2020,28
24/04/2020,30
25/04/2020,32
26/04/2020,37
27/04/2020,43
28/04/2020,48
29/04/2020,52
30/04/2020,58
01/05/2020,63
02/05/2020,72
03/05/2020,80
04/05/2020,88
05/05/2020,95
06/05/2020,102
07/05/2020,108
08/05/2020,114
09/05/2020,121
10/05/2020,127
11/05/2020,140
12/05/2020,152
13/05/2020,162
14/05/2020,170
15/05/2020,172
16/05/2020,173
17/05/2020,175
18/05/2020,175
19/05/2020,173
20/05/2020,172
21/05/2020,170
22/05/2020,167
23/05/2020,164
24/05/2020,161
25/05/2020,159
26/05/2020,154
27/05/2020,150
28/05/2020,145
29/05/2020,141
30/05/2020,137
31/05/2020,132
01/06/2020,127
02/06/2020,122
03/06/2020,117
04/06/2020,112
05/06/2020,107
06/06/2020,102
07/06/2020,97
08/06/2020,91
09/06/2020,86
10/06/2020,79
11/06/2020,70
12/06/2020,60
13/06/2020,51
14/06/2020,41
15/06/2020,32
16/06/2020,30
17/06/2020,28
18/06/2020,26
19/06/2020,24
20/06/2020,22
21/06/2020,20
22/06/2020,18
23/06/2020,16
24/06/2020,15
25/06/2020,13
26/06/2020,12
27/06/2020,11
28/06/2020,10
29/06/2020,8
30/06/2020,7
01/07/2020,6
02/07/2020,6
03/07/2020,5
04/07/2020,5
05/07/2020,5
06/07/2020,5
07/07/2020,4
08/07/2020,4
09/07/2020,4
10/07/2020,3
11/07/2020,3
12/07/2020,2
13/07/2020,1
14/07/2020,1
15/07/2020,0
16/07/2020,0
17/07/2020,0
18/07/2020,0
19/07/2020,0
20/07/2020,0
21/07/2020,0
22/07/2020,0
23/07/2020,0
24/07/2020,0
25/07/2020,0
26/07/2020,0
27/07/2020,0
28/07/2020,0
29/07/2020,0
30/07/2020,0
31/07/2020,0
01/08/2020,0
02/08/2020,0
03/08/2020,0
04/08/2020,0
05/08/2020,0
06/08/2020,0
07/08/2020,0
08/08/2020,0
09/08/2020,0
10/08/2020,0
11/08/2020,0
12/08/2020,0
13/08/2020,0
14/08/2020,0
15/08/2020,0
16/08/2020,0
17/08/2020,0
18/08/2020,0
19/08/2020,0
20/08/2020,0
21/08/2020,0
22/08/2020,0
23/08/2020,0
24/08/2020,0
25/08/2020,0
26/08/2020,0
27/08/2020,0
28/08/2020,0
29/08/2020,0
30/08/2020,0
31/08/2020,0
01/09/2020,0
02/09/2020,0
03/09/2020,0
04/09/2020,0
05/09/2020,0
06/09/2020,0
07/09/2020,0
08/09/2020,0
09/09/2020,0
10/09/2020,0
11/09/2020,0
12/09/2020,0
13/09/2020,0
14/09/2020,0
15/09/2020,0
16/09/2020,0
17/09/2020,0
18/09/2020,0
19/09/2020,0
20/09/2020,0
21/09/2020,0
22/09/2020,0
23/09/2020,0
24/09/2020,0
25/09/2020,0
26/09/2020,0
27/09/2020,0
28/09/2020,0
29/09/2020,0
30/09/2020,0
01/10/2020,0
02/10/2020,0
03/10/2020,0
04/10/2020,0
05/10/2020,0
06/10/2020,0
07/10/2020,0
08/10/2020,0
09/10/2020,0
10/10/2020,0
11/10/2020,0
12/10/2020,0
13/10/2020,0
14/10/2020,0
15/10/2020,0
16/10/2020,0
17/10/2020,0
18/10/2020,0
19/10/2020,0
20/10/2020,0
21/10/2020,0
22/10/2020,0
23/10/2020,0
24/10/2020,0
25/10/2020,0
26/10/2020,0
27/10/2020,0
28/10/2020,0
29/10/2020,0
30/10/2020,0
31/10/2020,0
01/11/2020,0
02/11/2020,0
03/11/2020,0
04/11/2020,0
05/11/2020,0
06/11/2020,0
07/11/2020,0
08/11/2020,0
09/11/2020,0
10/11/2020,0
11/11/2020,0
12/11/2020,0
13/11/2020,0
14/11/2020,0
15/11/2020,0
16/11/2020,0
17/11/2020,0
18/11/2020,0
19/11/2020,0
20/11/2020,0
21/11/2020,0
22/11/2020,0
23/11/2020,0
24/11/2020,0
25/11/2020,0
26/11/2020,0
27/11/2020,0
28/11/2020,0
29/11/2020,0
30/11/2020,0
01/12/2020,0
02/12/2020,0
03/12/2020,0
04/12/2020,0
05/12/2020,0
06/12/2020,0
07/12/2020,0
08/12/2020,0
09/12/2020,0
10/12/2020,0
11/12/2020,0
12/12/2020,0
13/12/2020,0
14/12/2020,0
15/12/2020,0
16/12/2020,0
17/12/2020,0
18/12/2020,0
19/12/2020,0
20/12/2020,0
21/12/2020,0
22/12/2020,0
23/12/2020,0
24/12/2020,0
25/12/2020,0
26/12/2020,0
27/12/2020,0
28/12/2020,0
29/12/2020,0
30/12/2020,0
31/12/2020,0
